🇱🇻,Latvia,Prime Minister of Latvia,Evika Siliņa,President of Latvia,Edgars Rinkēvičs
🇱🇧,Lebanon,Prime Minister of Lebanon,Najib Mikati,President of Lebanon,No/unknown value
🇱🇸,Lesotho,Prime Minister of Lesotho,Sam Matekane,King of Lesotho,Letsie III of Lesotho
🇱🇷,Liberia,President of Liberia,George Weah,President of Liberia,George Weah
🇱🇾,Libya,Prime Minister of Libya,Abdulhamid Dbeibeh,Chairman of the Presidential Council,Mohamed al-Menfi
🇱🇮,Liechtenstein,Prime Minister of Liechtenstein,Daniel Risch,Prince of Lichtenstein,"Hans-Adam II, Prince of Liechtenstein"
🇱🇹,Lithuania,Prime Minister of Lithuania,Ingrida Šimonytė,President of the Republic of Lithuania,Gitanas Nausėda
🇱🇺,Luxembourg,Prime Minister of Luxembourg,Xavier Bettel,Monarch of Luxembourg,"Henri, Grand Duke of Luxembourg"
🇲🇬,Madagascar,Prime Minister of Madagascar,Christian Ntsay,President of Madagascar,Andry Rajoelina
🇲🇼,Malawi,President of Malawi,Lazarus Chakwera,President of Malawi,Lazarus Chakwera
🇲🇾,Malaysia,Prime Minister of Malaysia,Anwar Ibrahim,Yang di-Pertuan Agong,Ibrahim Iskandar of Johor
🇲🇻,Maldives,President of the Maldives,Mohamed Muizzu,President of the Maldives,Mohamed Muizzu
🇲🇱,Mali,Prime Minister of Mali,Choguel Kokalla Maïga,President of Mali,Assimi Goïta
🇲🇹,Malta,Prime Minister of Malta,Robert Abela,President of Malta,Myriam Spiteri Debono
🇲🇷,Mauritania,Prime Minister of Mauritania,Mohamed Ould Bilal,President of Mauritania,Mohamed Ould Ghazouani
🇲🇺,Mauritius,Prime Minister of Mauritius,Pravind Jugnauth,President of Mauritius,Prithvirajsing Roopun
🇲🇽,Mexico,President of Mexico,Andrés Manuel López Obrador,President of Mexico,Andrés Manuel López Obrador
🇲🇩,Moldova,Prime Minister of Moldova,Dorin Recean,President of Moldova,Maia Sandu
🇲🇨,Monaco,Minister of State of Monaco,Didier Guillaume,Prince of Monaco,"Albert II, Prince of Monaco"
🇲🇳,Mongolia,Prime Minister of Mongolia,Oyunerdene Luvsannamsrai,President of Mongolia,Khurelsukh Ukhnaa
🇲🇪,Montenegro,Prime Minister of Montenegro,Milojko Spajić,President of Montenegro,Jakov Milatović
🇲🇦,Morocco,Prime Minister of Morocco,Aziz Akhannouch,King of Morocco,Mohammed VI of Morocco
🇲🇿,Mozambique,Prime Minister of Mozambique,Adriano Maleiane,President of Mozambique,Filipe Nyusi
🇲🇲,Myanmar,"State Administration Council
State Counsellor of Myanmar",Min Aung Hlaing,President of Myanmar,Myint Swe
🇳🇦,Namibia,Prime Minister of the Republic of Namibia,Saara Kuugongelwa,President of the Republic of Namibia,Nangolo Mbumba
🇳🇷,Nauru,President of Nauru,Russ J Kun,President of Nauru,David Adeang
🇳🇵,Nepal,Prime Minister of Nepal,Pushpa Kamal Dahal,President of Nepal,Ram Chandra Poudel
🇳🇱,Netherlands,Prime Minister of the Netherlands,Dick Schoof,King of the Netherlands,Willem-Alexander of the Netherlands
🇳🇿,New Zealand,Prime Minister of New Zealand,Christopher Luxon,monarch of New Zealand,Charles III of the United Kingdom
