Flag,Country,office held by head of government,head of government,office held by head of state,head of state,Wikipedia_Link
🇪🇭,Sahrawi Arab Democratic Republic,list of prime ministers of the Sahrawi Arab Democratic Republic,Bouchraya Hammoudi Bayoun,President of the Sahrawi Arab Democratic Republic,Brahim Ghali,https://en.wikipedia.org/wiki/Bouchraya_Hammoudi_Bayoun
🇰🇳,Saint Kitts and Nevis,Prime Minister of St Kitts and Nevis,Terrance Drew,monarch of Saint Kitts and Nevis,Charles III of the United Kingdom,https://en.wikipedia.org/wiki/Terrance_Drew
🇱🇨,Saint Lucia,Prime Minister of Saint Lucia,Allen Chastanet,monarch of Saint Lucia,Charles III of the United Kingdom,https://en.wikipedia.org/wiki/Allen_Chastanet
🇻🇨,Saint Vincent and the Grenadines,Prime Minister of Saint Vincent and the Grenadines,Ralph Gonsalves,monarch of Saint Vincent and the Grenadines,Charles III of the United Kingdom,https://en.wikipedia.org/wiki/Ralph_Gonsalves
🇼🇸,Samoa,Prime Minister of Samoa,"Tuila'epa Sa'ilele Malielegaoi Fiamē Naomi Mataʻafa",O le Ao o le Malo,Va'aletoa Sualauvi II,
🇸🇦,Saudi Arabia,Prime Minister of Saudi Arabia,Salman of Saudi Arabia,King of Saudi Arabia,Salman bin Abdulaziz Al Saud,https://en.wikipedia.org/wiki/Salman_of_Saudi_Arabia
🇸🇳,Senegal,President of Senegal,Bassirou Diomaye Diakhar Faye,President of Senegal,Bassirou Diomaye Diakhar Faye,
🇷🇸,Serbia,Prime Minister of Serbia,Miloš Vučević,President of Serbia,Alexander Vučić,https://en.wikipedia.org/wiki/Milo%C5%A1_Vu%C4%8Devi%C4%87
🇸🇨,Seychelles,President of Seychelles,Wavel Ramkalawan,President of Seychelles,Wavel Ramkalawan,https://en.wikipedia.org/wiki/Wavel_Ramkalawan
🇸🇱,Sierra Leone,Chief Minister of Sierra Leone,David Sengeh,President of Sierra Leone,Julius Maada Bio,https://en.wikipedia.org/wiki/David_Moinina_Sengeh
🇸🇬,Singapore,Prime Minister of Singapore,Lawrence Wong,President of Singapore,Tharman Shanmugaratnam,https://en.wikipedia.org/wiki/Lawrence_Wong
🇸🇽,Sint Maarten,Prime Minister of Sint Maarten,Leona Marlin-Romeo,,"Willem-Alexander of the Netherlands Eugene Holiday",https://en.wikipedia.org/wiki/Leona_Marlin-Romeo
🇸🇰,Slovakia,Prime Minister of Slovakia,Robert Fico,President of Slovakia,Peter Pellegrini,https://en.wikipedia.org/wiki/Robert_Fico
🇸🇮,Slovenia,Prime Minister of Slovenia,Robert Golob,President of Slovenia,Nataša Pirc Musar,https://en.wikipedia.org/wiki/Robert_Golob
🇸🇧,Solomon Islands,Prime Minister of the Solomon Islands,Jeremiah Manele,monarch of the Solomon Islands,Charles III of the United Kingdom,https://en.wikipedia.org/wiki/Jeremiah_Manele
🇸🇴,Somalia,Prime Minister of Somalia,Mohamed Hussein Roble,President of Somalia,Hassan Sheikh Mohamud,https://en.wikipedia.org/wiki/Mohamed_Hussein_Roble
