product_id,actual_price,rating,category_Car&Motorbike,category_Computers&Accessories,category_Electronics,category_Health&PersonalCare,category_Home&Kitchen,category_HomeImprovement,category_MusicalInstruments,category_OfficeProducts,category_Toys&Games
B07JH1CBGW,1999.0,4.2,False,True,False,False,False,False,False,False,False
B09127FZCK,899.0,3.8,False,False,True,False,False,False,False,False,False
B083GQGT3Z,799.0,4.1,False,False,True,False,False,False,False,False,False
B09Q8WQ5QJ,499.0,4.1,False,True,False,False,False,False,False,False,False
B07YZG8PPY,2299.0,4.3,False,False,True,False,False,False,False,False,False
B09H39KTTB,499.0,3.7,False,False,True,False,False,False,False,False,False
B08DCVRW98,499.0,4.0,False,False,True,False,False,False,False,False,False
B0718ZN31Q,4999.0,4.2,False,False,True,False,False,False,False,False,False
B0162LYSFS,1749.0,4.1,False,True,False,False,False,False,False,False,False
B07PFJ5VQD,595.0,4.3,False,True,False,False,False,False,False,False,False
B01J8S6X2I,1100.0,4.4,False,True,False,False,False,False,False,False,False
B09MJ77786,49999.0,4.3,False,False,True,False,False,False,False,False,False
B09NNGHG22,56790.0,4.3,False,False,True,False,False,False,False,False,False
B07V5YF4ND,1199.0,3.5,False,False,True,False,False,False,False,False,False
B0B65P827P,549.0,3.9,False,True,False,False,False,False,False,False,False
B084MZYBTV,849.0,4.5,False,True,False,False,False,False,False,False,False
B097ZQTDVZ,899.0,3.4,False,False,True,False,False,False,False,False,False
B0B5F3YZY4,1099.0,4.0,False,True,False,False,False,False,False,False,False
B09G5TSGXV,799.0,4.0,False,True,False,False,False,False,False,False,False
B006LW0WDQ,795.0,4.4,False,False,True,False,False,False,False,False,False
B09YLX91QR,399.0,4.0,False,True,False,False,False,False,False,False,False
B081FJWN52,999.0,4.3,False,True,False,False,False,False,False,False,False
B0758F7KK7,999.0,4.0,False,False,True,False,False,False,False,False,False
B09L835C3V,399.0,4.2,False,False,True,False,False,False,False,False,False
B098TV3L96,1999.0,3.8,False,False,True,False,False,False,False,False,False
B08NCKT9FG,798.0,4.4,False,True,False,False,False,False,False,False,False
B0B4T6MR8N,800.0,3.9,False,True,False,False,False,False,False,False,False
B01GGKZ4NU,995.0,4.2,False,True,False,False,False,False,False,False,False
B09BW2GP18,1000.0,3.9,False,True,False,False,False,False,False,False,False
B09WN3SRC7,139900.0,4.7,False,False,True,False,False,False,False,False,False
B09B125CFJ,799.0,3.6,False,False,True,False,False,False,False,False,False
B09RQRZW2X,899.0,3.7,False,False,True,False,False,False,False,False,False
B07924P3C5,799.0,4.2,False,True,False,False,False,False,False,False,False
B08N1WL9XW,599.0,4.0,False,True,False,False,False,False,False,False,False
B07VVXJ2P5,399.0,3.6,False,False,True,False,False,False,False,False,False
B0BC8BQ432,85000.0,4.3,False,False,True,False,False,False,False,False,False
B06XFTHCNY,758.0,4.2,False,False,True,False,False,False,False,False,False
B08CT62BM1,999.0,4.3,False,True,False,False,False,False,False,False,False
B07CRL2GY6,799.0,4.2,False,True,False,False,False,False,False,False,False
B07DWFX9YS,1999.0,4.2,False,True,False,False,False,False,False,False,False
B01D5H90L4,700.0,4.4,False,False,True,False,False,False,False,False,False
B07F1P8KNV,1099.0,4.2,False,True,False,False,False,False,False,False,False
B084N1BM9L,1999.0,4.4,False,True,False,False,False,False,False,False,False
B09F6D21BY,1999.0,3.0,False,False,True,False,False,False,False,False,False
B09LQQYNZQ,4699.0,4.5,False,False,True,False,False,False,False,False,False
B0BC9BW512,24990.0,4.3,False,False,True,False,False,False,False,False,False
B0B61HYR92,999.0,4.2,False,True,False,False,False,False,False,False,False
B075ZTJ9XR,650.0,4.4,False,False,True,False,False,False,False,False,False
B0978V2CP6,3100.0,4.0,False,False,True,False,False,False,False,False,False
B09LRZYBH1,3999.0,3.8,False,False,True,False,False,False,False,False,False
B0B997FBZT,49990.0,4.3,False,False,True,False,False,False,False,False,False
B098LCVYPW,999.0,4.2,False,False,True,False,False,False,False,False,False
B09HV71RL1,1499.0,4.1,False,True,False,False,False,False,False,False,False
B08PZ6HZLT,18999.0,4.0,False,False,True,False,False,False,False,False,False
B075TJHWVC,2299.0,4.2,False,False,True,False,False,False,False,False,False
B09LV13JFB,999.0,3.3,False,False,True,False,False,False,False,False,False
B092BL5DCX,69900.0,4.3,False,False,True,False,False,False,False,False,False
B09VH568H7,299.0,3.8,False,True,False,False,False,False,False,False,False
B09HQSV46W,29999.0,4.2,False,False,True,False,False,False,False,False,False
B08TZD7FQN,599.0,3.7,False,False,True,False,False,False,False,False,False
B0B21XL94T,34990.0,4.3,False,False,True,False,False,False,False,False,False
B09PTT8DZF,670.0,3.9,False,True,False,False,False,False,False,False,False
B0B94JPY2N,999.0,3.0,False,True,False,False,False,False,False,False,False
B0B3XXSB1K,79990.0,4.3,False,False,True,False,False,False,False,False,False
B08RZ12GKR,499.0,3.5,False,False,True,False,False,False,False,False,False
B0B4T8RSJ1,800.0,3.9,False,True,False,False,False,False,False,False,False
B0B7B9V9QP,35000.0,4.0,False,False,True,False,False,False,False,False,False
B08XXVXP3J,999.0,4.3,False,True,False,False,False,False,False,False,False
B06XGWRKYT,15999.0,3.8,False,False,True,False,False,False,False,False,False
B07CWDX49D,1600.0,4.3,False,True,False,False,False,False,False,False,False
B09TY4MSH3,2499.0,3.3,False,False,True,False,False,False,False,False,False
B07RY2X9MP,1500.0,4.5,False,False,True,False,False,False,False,False,False
B0B2C5MJN6,54990.0,4.1,False,False,True,False,False,False,False,False,False
B0BBMGLQDW,1999.0,4.2,False,False,True,False,False,False,False,False,False
B01LONQBDG,899.0,4.1,False,True,False,False,False,False,False,False,False
B08XXF5V6G,50999.0,4.4,False,False,True,False,False,False,False,False,False
B09HK9JH4F,399.0,4.2,False,False,True,False,False,False,False,False,False
B09MMD1FDN,699.0,3.9,False,False,True,False,False,False,False,False,False
B09HN7LD5L,4500.0,4.0,False,False,True,False,False,False,False,False,False
B0BNDD9TN6,28900.0,4.5,False,False,True,False,False,False,False,False,False
B0941392C8,449.0,3.7,False,True,False,False,False,False,False,False,False
B01M5967SY,999.0,4.2,False,False,True,False,False,False,False,False,False
B016MDK4F4,499.0,4.2,False,False,True,False,False,False,False,False,False
B08G43CCLC,999.0,4.2,False,True,False,False,False,False,False,False,False
